date,Momentum-20d,MeanReversion-20d/1σ,RSI-14d(oversold<40),BollingerBands-20d/2σ,SMACross-10/30d,Buy&Hold
2023-04-27,1739716.3985239912,1354360.2701208491,935403.6914467913,1190854.408891238,1652543.205594227,1736407.4109506044
2023-04-28,1773135.618256161,1354360.2701208491,935403.6914467913,1190854.408891238,1684287.864983259,1769763.0664243118
2023-05-01,1847322.4521166752,1354360.2701208491,935403.6914467913,1190854.408891238,1754757.3669921807,1843808.7949233076
2023-05-02,1802593.0949225668,1354360.2701208491,935403.6914467913,1190854.408891238,1712269.2951521762,1799164.5141745592
2023-05-03,1776522.2695865722,1354360.2701208491,935403.6914467913,1190854.408891238,1687504.8189940022,1773143.2762524313
2023-05-04,1761186.4899771637,1354360.2701208491,935403.6914467913,1190854.408891238,1672937.4800774294,1757836.6657100036
2023-05-05,1832625.663324325,1354360.2701208491,935403.6914467913,1190854.408891238,1740797.0005304648,1829139.9598201471
2023-05-08,1862722.1308077893,1354360.2701208491,935403.6914467913,1190854.408891238,1769385.403154239,1859179.1830096622
2023-05-09,1825660.6634183852,1354360.2701208491,935403.6914467913,1190854.408891238,1734181.0007725211,1822188.2075321279
2023-05-10,1845724.9750740281,1354360.2701208491,935403.6914467913,1190854.408891238,1753239.9358550375,1842214.356325138
2023-05-11,1826107.9569903263,1354360.2701208491,935403.6914467913,1190854.408891238,1734605.8814909214,1822634.6503396153
2023-05-12,1810899.9755443295,1354360.2701208491,935403.6914467913,1190854.408891238,1720159.9370653199,1807455.5948850408
2023-05-15,1850070.112630027,1354360.2701208491,935403.6914467913,1190854.408891238,1757367.3485480663,1846551.2293121591
2023-05-16,1866683.873873553,1354360.2701208491,935403.6914467913,1190854.408891238,1773148.6323743537,1863133.3907331228
2023-05-17,1928346.4877197165,1354360.2701208491,935403.6914467913,1190854.408891238,1831721.474268074,1924678.7206224687
2023-05-18,2024195.11027852,1354360.2701208491,935403.6914467913,1190854.408891238,1922767.3424966547,2020345.0365126438
2023-05-19,1997740.8904522902,1354360.2701208491,935403.6914467913,1190854.408891238,1897638.6828655663,1993941.1333269554
2023-05-22,1992117.7712621735,1354360.2701208491,935403.6914467913,1190854.408891238,1892297.325262823,1988328.7094613984
2023-05-23,1960935.0193897095,1354360.2701208491,935403.6914467913,1190854.408891238,1862677.0694657913,1957205.2680251282
2023-05-24,1951350.1571338293,1354360.2701208491,935403.6914467913,1190854.408891238,1853572.4826429335,1947638.6364361106
2023-05-25,2426887.1231889063,1354360.2701208491,935403.6914467913,1190854.408891238,2305281.383547665,2422271.1183392326
2023-05-26,2488613.636116776,1354360.2701208491,935403.6914467913,1190854.408891238,2363914.922686871,2483880.225772505
2023-05-30,2563056.0663041133,1354360.2701208491,935403.6914467913,1190854.408891238,2434627.2136777355,2558181.064447208
2023-05-31,2417557.8572598496,1354360.2701208491,935403.6914467913,1190854.408891238,2296419.5857067504,2412959.596925922
2023-06-01,2541266.479442412,1354360.2701208491,935403.6914467913,1190854.408891238,2413929.4529671054,2536432.921968175
2023-06-02,2512959.1862467118,1354360.2701208491,935403.6914467913,1190854.408891238,2387040.573216931,2508179.4700086094
2023-06-05,2502990.929500596,1354360.2701208491,935403.6914467913,1190854.408891238,2377571.8029211587,2498230.173156032
2023-06-06,2469955.104258662,1354360.2701208491,935403.6914467913,1190854.408891238,2346191.3270050413,2465257.1829458848
2023-06-07,2394618.0869274423,1354360.2701208491,935403.6914467913,1190854.408891238,2274629.274577377,2390063.458656207
2023-06-08,2460753.6364930165,1354360.2701208491,935403.6914467913,1190854.408891238,2337450.9236550974,2456073.2166204276
2023-06-09,2477367.3977365424,1354360.2701208491,935403.6914467913,1190854.408891238,2353232.2074813847,2472655.3780413917
2023-06-12,2522863.543911121,1354360.2701208491,935403.6914467913,1190854.408891238,2396448.6462672176,2518064.989317261
2023-06-13,2621268.129738159,1354360.2701208491,935403.6914467913,1190854.408891238,2489922.4043152267,2616282.4069645074
2023-06-14,2747468.8161072503,1354360.2701208491,935403.6914467913,1190854.408891238,2609799.4641495245,2742243.056219905
2023-06-15,2725487.5320004313,1354360.2701208491,935403.6914467913,1190854.408891238,2588919.6117024366,2720303.5811090916
2023-06-16,2727979.59618696,1354360.2701208491,935403.6914467913,1190854.408891238,2591286.8042763798,2722790.905322236
2023-06-20,2799290.97137071,1354360.2701208491,935403.6914467913,1190854.408891238,2659024.930238444,2793966.644344526
2023-06-21,2750535.972029132,1354360.2701208491,935403.6914467913,1190854.408891238,2612712.931932839,2745304.3783283904
2023-06-22,2749257.990395014,1354360.2701208491,935403.6914467913,1190854.408891238,2611498.9870231245,2744028.8274498545
2023-06-23,2697116.3397230254,1354360.2701208491,935403.6914467913,1190854.408891238,2561970.0347067765,2691986.3516055997
2023-06-26,2596347.4878728697,1354360.2701208491,935403.6914467913,1190854.408891238,2466250.478575795,2591409.164833062
2023-06-27,2675837.9455149705,1354360.2701208491,935403.6914467913,1190854.408891238,2541757.851960031,2670748.4294779804
2023-06-28,2627338.5425002156,1354360.2701208491,935403.6914467913,1190854.408891238,2495688.642636369,2622341.273637552
2023-06-29,2608488.3133969847,1354360.2701208491,935403.6914467913,1190854.408891238,2477782.955218082,2603526.898179151
2023-06-30,2703058.954321671,1354360.2701208491,935403.6914467913,1190854.408891238,2567614.878536948,2697917.66319079
2023-07-03,2710151.752391022,1354360.2701208491,935403.6914467913,1190854.408891238,2574352.272785863,2704996.970566663
2023-07-05,2704017.440547259,1354360.2701208491,935403.6914467913,1190854.408891238,2568525.337219234,2698874.326349692
2023-07-06,2690343.037062203,1354360.2701208491,935403.6914467913,1190854.408891238,2555536.12668529,2685225.9319493608
2023-07-07,2715902.6697445503,1354360.2701208491,935403.6914467913,1190854.408891238,2579815.024879578,2710736.949520074
2023-07-10,2695263.2663535546,1354360.2701208491,935403.6914467913,1190854.408891238,2560209.8145876904,2690136.802831723
2023-07-11,2709640.5597373755,1354360.2701208491,935403.6914467913,1190854.408891238,2573866.6948219775,2704486.750215249
2023-07-12,2805297.4850510615,1354360.2701208491,935403.6914467913,1190854.408891238,2664730.471314101,2799961.7334736437
2023-07-13,2937888.0795907397,1354360.2701208491,935403.6914467913,1190854.408891238,2790677.255696971,2932300.137121719
2023-07-14,2905427.3460841584,1354360.2701208491,935403.6914467913,1190854.408891238,2759843.054990225,2899901.1448069136
2023-07-17,2968815.2351363804,1354360.2701208491,935403.6914467913,1190854.408891238,2820054.72251206,2963168.468382282
2023-07-18,3034822.986538543,1354360.2701208491,935403.6914467913,1190854.408891238,2882754.977098809,3029050.67125865
2023-07-19,3008177.0694671953,1354360.2701208491,935403.6914467913,1190854.408891238,2857444.2257312634,3002455.4354411806
2023-07-20,2908686.1992511577,1354360.2701208491,935403.6914467913,1190854.408891238,2762938.614509997,2903153.7995471796
2023-07-21,2831304.41130535,1354360.2701208491,935403.6914467913,1190854.408891238,2689434.250226789,2825919.193851845
2023-07-24,2850665.8330622287,1354360.2701208491,935403.6914467913,1190854.408891238,2707825.515608963,2845243.78966166
2023-07-25,2918846.1532423906,1354360.2701208491,935403.6914467913,1190854.408891238,2772589.4765422265,2913294.429031538
2023-07-26,2904341.061695158,1354360.2701208491,935403.6914467913,1190854.408891238,2758811.2018169677,2898816.926560158
2023-07-27,2932967.8502993877,1354360.2701208491,935403.6914467913,1190854.408891238,2786003.5677945707,2927389.266239357
2023-07-28,2987282.0697493767,1354360.2701208491,935403.6914467913,1190854.408891238,2837596.2264574333,2981600.1785771227
2023-07-31,2985940.1890335535,1354360.2701208491,935403.6914467913,1190854.408891238,2836321.584302233,2980260.85015466
2023-08-01,2971754.5928948503,1354360.2701208491,935403.6914467913,1190854.408891238,2822846.795804403,2966102.235402914
2023-08-02,2828748.4480371154,1354360.2701208491,935403.6914467913,1190854.408891238,2687006.3604073604,2823368.092094773
2023-08-03,2844467.622136759,1354360.2701208491,935403.6914467913,1190854.408891238,2701937.8827968477,2839057.367900762
2023-08-04,2855010.970618227,1354360.2701208491,935403.6914467913,1190854.408891238,2711952.9283019914,2849580.662648681
2023-08-07,2902072.6442945995,1354360.2701208491,935403.6914467913,1190854.408891238,2756656.4496022244,2896552.823750757
2023-08-08,2853988.585310933,1354360.2701208491,919905.1110230751,1190854.408891238,2710981.7723742197,2848560.221945853
2023-08-09,2719161.5229115495,1354360.2701208491,876447.2974761763,1190854.408891238,2582910.5843993495,2713989.60426034
2023-08-10,2719161.5229115495,1349077.0110890293,873028.3415288846,1186208.9741054142,2572834.8416487197,2703402.531968494
2023-08-11,2719161.5229115495,1300286.4321987894,841454.4893168487,1143308.6637038006,2479785.9643191104,2605631.5571287344
2023-08-14,2719161.5229115495,1392520.6772241744,901142.0455533004,1224407.8806273993,2479785.9643191104,2790458.8794285534
2023-08-15,2719161.5229115495,1392520.6772241744,901142.0455533004,1229640.9908981768,2479785.9643191104,2802385.2801428614
2023-08-16,2719161.5229115495,1392520.6772241744,901142.0455533004,1216936.0066044177,2479785.9643191104,2773430.2752001015
2023-08-17,2719161.5229115495,1392520.6772241744,901142.0455533004,1212948.208670804,2479785.9643191104,2764341.975190535
2023-08-18,2719161.5229115495,1392520.6772241744,900216.8590541224,1211702.8963336404,2479785.9643191104,2761503.8744857935
2023-08-21,2719161.5229115495,1392520.6772241744,976477.1754358059,1314350.2143722046,2479785.9643191104,2995439.9056092347
2023-08-22,2643955.7227058285,1392520.6772241744,976477.1754358059,1314350.2143722046,2479785.9643191104,2912592.8760483433
2023-08-23,2643955.7227058285,1392520.6772241744,976477.1754358059,1314350.2143722046,2479785.9643191104,3004942.7596543254
2023-08-24,2646593.1689866497,1392520.6772241744,976477.1754358059,1314350.2143722046,2479785.9643191104,3007940.3042188846
2023-08-25,2582340.488315579,1392520.6772241744,976477.1754358059,1314350.2143722046,2479785.9643191104,2934915.0164227174
2023-08-28,2582340.488315579,1392520.6772241744,976477.1754358059,1314350.2143722046,2479785.9643191104,2987021.269810899
2023-08-29,2689802.4635846526,1392520.6772241744,976477.1754358059,1314350.2143722046,2582980.2174302014,3111323.7029242003
2023-08-30,2716268.2142922753,1392520.6772241744,976477.1754358059,1314350.2143722046,2608394.9129116405,3141936.9240090563
2023-08-31,2721285.679530595,1392520.6772241744,976477.1754358059,1314350.2143722046,2613213.1155966627,3147740.6805063933
2023-09-01,2674639.793908411,1392520.6772241744,976477.1754358059,1314350.2143722046,2568419.7148106275,3093784.878344335
2023-09-05,2676790.1361534055,1392520.6772241744,976477.1754358059,1314350.2143722046,2570484.6588184945,3096272.2025574795
2023-09-06,2594801.445940418,1392520.6772241744,976477.1754358059,1314350.2143722046,2491752.050108288,3001434.9947383525
2023-09-07,2549589.1218148973,1392520.6772241744,976477.1754358059,1314350.2143722046,2448335.2786608306,2949137.40871839
2023-09-08,2512702.481766149,1392520.6772241744,976477.1754358059,1314350.2143722046,2412913.5468335757,2906470.231831372
2023-09-11,2490978.511393642,1392520.6772241744,976477.1754358059,1314350.2143722046,2392052.3176258947,2881341.8795242193
