date,SMAcross-20/50(equal-wt),SMAcross-20/50(risk-adj),TopK-Momentum-30d/K10(equal-wt),TopK-Momentum-30d/K10(risk-adj),NDX100-EqualWeight-BH
2023-06-14,980725.3513597079,1014399.5275507334,1113177.6453689947,1140611.5534022804,1301880.7214944789
2023-06-15,990404.4772536234,1025876.7990102712,1116289.5577554049,1145154.5769414247,1315880.6303657866
2023-06-16,983955.8964307017,1020604.1306656036,1101884.0798188115,1132151.397151679,1310172.7807477606
2023-06-20,976202.2642704262,1013689.8382257981,1095713.5605016022,1126841.5791839513,1301673.3925031847
2023-06-21,963397.2559892336,1005062.7455733174,1059068.7695953385,1088912.6221589313,1291316.5468733308
2023-06-22,967785.2412749213,1010245.3858978917,1058759.1749804555,1089515.9128123124,1296036.8469225701
2023-06-23,957319.942964914,1001006.0149384188,1041189.0574791044,1071565.5875071334,1281976.348088006
2023-06-26,955371.8354437423,999830.0961382419,1025805.491207528,1051168.7815884175,1279102.7612678125
2023-06-27,976521.697274078,1019312.2358856548,1060055.8141751182,1085256.422233069,1302078.816298419
2023-06-28,977570.7689070384,1020195.647527193,1060540.059150948,1083307.5823836478,1302574.6636526932
2023-06-29,978345.9429912043,1021552.6122165648,1061719.6706450828,1084703.024965083,1303368.714041572
2023-06-30,989844.8712790954,1033450.2951021425,1075679.3430450622,1099773.7544717079,1318385.58562512
2023-07-03,993459.5449526118,1034191.6565710428,1088367.7178292815,1110727.325051852,1322955.8272124608
2023-07-05,988567.6833316386,1028931.788655199,1083883.2291662327,1103806.7524986851,1319441.2572446635
2023-07-06,977134.9163020465,1018937.9786979305,1065303.9893345202,1084987.546207661,1304336.217554991
2023-07-07,976192.3360917974,1016421.6749350522,1067995.8205649038,1086785.6610950215,1301704.6491458374
2023-07-10,994054.9412595663,1033439.5644207802,1084634.004780412,1102057.0202364458,1322607.649239152
2023-07-11,1000863.3087196569,1040337.9105308483,1096336.1001437383,1114384.2991276204,1331611.586815622
2023-07-12,1007461.2846749482,1046717.208676205,1101780.1548807037,1120148.2105795648,1340232.2115411442
2023-07-13,1023495.8588153585,1059443.8933588453,1128458.0155588419,1140637.3442436936,1358804.838429274
2023-07-14,1021121.1285518255,1058927.5054447532,1122605.765963688,1135440.9807020663,1355824.2853517758
2023-07-17,1032818.357626428,1069067.9774998804,1135996.3633377778,1151805.5829936967,1368876.0760366253
2023-07-18,1038833.3865639078,1074850.7951224167,1149351.6592727068,1167263.6451374742,1375426.016651126
2023-07-19,1036830.9220704272,1072646.0827289987,1144441.8781227863,1160790.144140827,1374397.4330129186
2023-07-20,1018550.8865887966,1059458.4383403216,1114018.076243484,1134683.3793709192,1354166.4414535214
2023-07-21,1021345.9535415261,1062617.9993554736,1112351.1572905292,1134458.430286411,1358804.3221365921
2023-07-24,1020614.0449321615,1062380.3334426836,1113026.203863085,1136289.081103912,1357352.2245650527
2023-07-25,1029857.1109779174,1070368.4531074143,1124525.4118251142,1145904.9633981315,1367440.940738666
2023-07-26,1026202.336936051,1066619.0900656888,1133445.1500029913,1155942.8410835867,1364597.1646422902
2023-07-27,1022581.9560239041,1062183.182939547,1123055.506532694,1147540.8583823338,1362634.8069590647
2023-07-28,1040125.7258922728,1076527.792681932,1150188.466608942,1172560.3591260924,1385004.5756577365
2023-07-31,1044973.4722960995,1078687.3782428296,1156251.0630023752,1179357.5591758217,1390695.2050627393
2023-08-01,1042223.5159529288,1075903.2182930557,1147083.356887636,1169569.5414578603,1387360.2271792814
2023-08-02,1020330.3345194353,1059305.4107658593,1118930.6853393682,1150945.676209954,1359229.119768942
2023-08-03,1016587.4134600194,1055135.8165934645,1109307.4305740942,1144528.411515768,1358437.1492973135
2023-08-04,1010037.6936399932,1048240.0961356721,1098908.1075861193,1136902.3135021783,1350383.6283595802
2023-08-07,1018063.1079391703,1057569.0498833165,1094977.2645418616,1135015.3533817756,1362178.9214867551
2023-08-08,1006987.4894629311,1048200.7997848507,1085864.1944123537,1130302.0884058776,1347035.5765126508
2023-08-09,999152.3504131499,1043097.1832596249,1061270.353057855,1113393.1101523263,1339370.5434987831
2023-08-10,1006349.7097548351,1048256.9919558425,1068035.0445526612,1117472.3310478877,1347924.6801335611
2023-08-11,1000910.4967103598,1045810.078288915,1070372.647657877,1118447.0476270365,1341645.50446897
2023-08-14,1010647.11834777,1053550.4808297178,1072655.8687823105,1116727.672387452,1352681.0568186932
2023-08-15,998508.995754517,1043299.6982910103,1060646.7924721977,1108584.695831143,1336654.6154589106
2023-08-16,989476.8867799991,1036101.6862016385,1051214.954550773,1101957.4180248876,1324682.2828621692
2023-08-17,976735.7583032164,1024317.9924007757,1041684.0232506532,1094919.9150433762,1306847.2553920678
2023-08-18,977069.2236865327,1025461.6915208367,1037255.6143005532,1091917.6285883877,1308386.0688901355
2023-08-21,986910.770844725,1032429.091057257,1044945.5832741753,1098632.9743214727,1322868.4699154557
2023-08-22,985791.5382558384,1030931.3059586647,1040636.6750285208,1091476.5246803144,1321984.4022251568
2023-08-23,999063.251748611,1042626.9349868023,1053354.669069432,1105030.9834768276,1340438.9534530425
2023-08-24,980366.8848843502,1027402.6590635119,1035861.6485156792,1089994.0447977278,1313702.5152622988
2023-08-25,988422.9667501474,1035255.0315375738,1040256.1831163081,1095444.679497988,1325200.6716641455
2023-08-28,997353.333515085,1044485.5095522896,1051145.3026151978,1106850.481712617,1334887.4987005417
2023-08-29,1016235.7235261212,1059242.8505213144,1062410.5368448454,1117619.8583941753,1360194.51928959
2023-08-30,1024029.2411536222,1064158.6089841365,1072369.9249925727,1121232.764706905,1369247.518782335
2023-08-31,1029108.6228438627,1067217.0735145342,1075805.9292538073,1121686.0724341213,1372670.313370197
2023-09-01,1033570.2747958358,1071613.235845275,1092301.6863310395,1135422.761740146,1375740.3863077443
2023-09-05,1029565.1470177924,1065019.299071441,1082820.2131196745,1127214.0221123951,1373306.2510273247
2023-09-06,1029369.2071447,1065299.986002278,1082225.312559508,1126112.463782579,1371109.9595976504
2023-09-07,1025313.4465483305,1064038.4703867075,1065382.2884963267,1110807.019302219,1362751.8371492322
2023-09-08,1025699.2414038855,1065066.5630949696,1060631.3308421774,1107754.5043878702,1363247.3636200503
2023-09-11,1029762.8880941344,1068043.1095913763,1070316.8641561663,1116196.6250102925,1374956.3322827257
2023-09-12,1021915.6523147231,1060944.8810713291,1062912.449411944,1107763.6344449779,1364287.2772726994
2023-09-13,1021275.2053950399,1059888.133918881,1053406.719458257,1098848.9128361323,1364326.9209535222
2023-09-14,1030052.1822833987,1069406.3069487999,1066745.8279506285,1114096.7391242809,1375170.0592217757
2023-09-15,1013100.5088155069,1053273.7942160424,1054704.3769479247,1099121.3673555772,1352640.9174426463
2023-09-18,1017024.6295820386,1056922.766078266,1061435.1314589537,1106530.2645132444,1354255.101603425
2023-09-19,1009121.4648082196,1050992.3465162548,1038136.2258919879,1083824.0018150923,1347020.118517158
2023-09-20,999775.3371491306,1042531.9312460066,1026346.9304170334,1075237.6352143008,1334746.9457157385
2023-09-21,980675.6140312012,1022775.7581108378,1009692.4886792584,1055106.4485386526,1309609.9704038855
2023-09-22,981612.6322565504,1023625.0086346612,1009783.4445396423,1056271.542713382,1310989.7578445782
2023-09-25,982563.8277666562,1024927.0340566947,1004846.1573794878,1055156.5018642873,1314661.937811836
2023-09-26,970669.4137999081,1013043.9098065607,995665.4658653324,1045990.381869607,1298325.8593408829
2023-09-27,978388.2343267014,1019807.6987444651,1005588.0544809342,1055962.537088917,1306015.6542930633
2023-09-28,986082.6480378573,1026180.1719433166,1007107.9125604273,1055055.8792996667,1317696.7732011417
2023-09-29,987635.0692178274,1024962.7716271938,1011715.9790712076,1059368.787549286,1317428.1770296516
2023-10-02,990272.8245888369,1027375.0006868611,1016759.7232408131,1065709.760595004,1316152.875258625
2023-10-03,970356.797359109,1008697.059075316,978886.6658501208,1025565.1538214561,1292423.1172370228
2023-10-04,980835.2730374073,1018819.8477348301,993042.290839283,1038640.904422589,1309020.677428449
2023-10-05,979634.0836228838,1017903.3479332497,999373.9372963737,1046827.363056414,1302383.156055894
2023-10-06,999167.1884691416,1034579.1652691292,1018694.758391216,1062802.060101672,1324856.687558314
2023-10-09,1008910.3952666478,1043040.1507701279,1029981.4590818714,1070079.09003017,1332469.339345225
2023-10-10,1018004.803373474,1051722.9071673828,1041440.8046733654,1081050.2336009382,1345073.4402213106
2023-10-11,1027954.2476763059,1062273.479727158,1053085.4437040356,1094094.9201550332,1349137.7404554011
2023-10-12,1020549.801593343,1056314.7259206618,1044152.2760442838,1085375.695305116,1336668.8215757313
2023-10-13,1013714.9416193387,1051128.8124435015,1033010.7575378007,1075164.3655727766,1325631.6828971994
2023-10-16,1022212.2048959262,1059372.980956029,1041682.8817412625,1083986.008896241,1341929.8409155821
2023-10-17,1021384.4048087008,1057330.708376023,1047868.776990173,1088424.2583801742,1343450.2688552542
2023-10-18,1009653.912448033,1045194.0453097901,1036316.2286784706,1077456.0720474082,1325848.5361822103
2023-10-19,994022.7928960295,1029801.9481051405,1022702.9527963955,1062433.8478337056,1311242.2788841845
2023-10-20,977451.6772269906,1015056.0140416112,1006246.5696300269,1049385.8972656638,1294247.250886241
2023-10-23,974880.1878144457,1011196.0354654329,1007691.9154449432,1050219.0202575456,1294362.3730492885
2023-10-24,987828.6218399282,1023926.1973843372,1030475.5506751148,1067067.2811344187,1311506.286848055
2023-10-25,962563.8280806139,998662.3606813549,1011755.7272412122,1048342.725840479,1279352.9522485822
